GTF_tag,Locus_tag,Gene_name,Product
gene-Rv0943c,Rv0943c,Rv0943c,Probable monooxygenase
gene-Rv0944,Rv0944,Rv0944,Possible formamidopyrimidine-DNA glycosylase (FAPY-DNA glycosylase)
gene-Rv0945,Rv0945,Rv0945,Probable short-chain type dehydrogenase/reductase
gene-Rv0946c,Rv0946c,pgi,Probable glucose-6-phosphate isomerase Pgi (GPI) (phosphoglucose isomerase) (phosphohexose isomerase) (phi)
gene-Rv0947c,Rv0947c,Rv0947c,"Probable mycolyl transferase, pseudogene"
gene-Rv0948c,Rv0948c,Rv0948c,Chorismate mutase
gene-Rv0949,Rv0949,uvrD1,Probable ATP-dependent DNA helicase II UvrD1
gene-Rv0950c,Rv0950c,Rv0950c,Conserved hypothetical protein
gene-Rv0951,Rv0951,sucC,Probable succinyl-CoA synthetase (beta chain) SucC (SCS-beta)
gene-Rv0952,Rv0952,sucD,Probable succinyl-CoA synthetase (alpha chain) SucD (SCS-alpha)
gene-Rv0953c,Rv0953c,Rv0953c,Possible oxidoreductase
gene-Rv0954,Rv0954,Rv0954,Probable conserved transmembrane protein
gene-Rv0955,Rv0955,Rv0955,Probable conserved integral membrane protein
gene-Rv0956,Rv0956,purN,Probable 5'-phosphoribosylglycinamide formyltransferase PurN (GART) (gar transformylase) (5'-phosphoribosylglycinamide transformylase)
gene-Rv0957,Rv0957,purH,Probable bifunctional purine biosynthesis protein PurH: phosphoribosylaminoimidazolecarboxamide formyltransferase (AICAR transformylase) (5'-phosphoribosyl-5-aminoimidazole-4-carboxamide formyltransferase) + inosinemonophosphate cyclohydrolase (imp cyclohydrolase) (inosinicase) (imp synthetase) (ATIC)
gene-Rv0958,Rv0958,Rv0958,Possible magnesium chelatase
gene-Rv0959,Rv0959,Rv0959,Conserved hypothetical protein
gene-Rv0959A,Rv0959A,vapB9,Possible antitoxin VapB9
gene-Rv0960,Rv0960,Rv0960,Possible toxin VapC9
gene-Rv0961,Rv0961,Rv0961,Probable integral membrane protein
gene-Rv0962c,Rv0962c,lprP,Possible lipoprotein LprP
gene-Rv0963c,Rv0963c,Rv0963c,Conserved hypothetical protein
gene-Rv0964c,Rv0964c,Rv0964c,Hypothetical protein
gene-Rv0965c,Rv0965c,Rv0965c,Conserved hypothetical protein
gene-Rv0966c,Rv0966c,Rv0966c,Conserved protein
gene-Rv0967,Rv0967,csoR,Copper-sensitive operon repressor CsoR
gene-Rv0968,Rv0968,Rv0968,Conserved protein
gene-Rv0969,Rv0969,ctpV,Probable metal cation transporter P-type ATPase CtpV
gene-Rv0970,Rv0970,Rv0970,Probable conserved integral membrane protein
gene-Rv0971c,Rv0971c,echA7,Probable enoyl-CoA hydratase EchA7 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0972c,Rv0972c,fadE12,Acyl-CoA dehydrogenase FadE12
gene-Rv0973c,Rv0973c,accA2,Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA2: biotin carboxylase + biotin carboxyl carrier protein (BCCP)
gene-Rv0974c,Rv0974c,accD2,Probable acetyl-/propionyl-CoA carboxylase (beta subunit) AccD2
gene-Rv0975c,Rv0975c,fadE13,Probable acyl-CoA dehydrogenase FadE13
gene-Rv0976c,Rv0976c,Rv0976c,Conserved hypothetical protein
gene-Rv0977,Rv0977,PE-PGRS16,PE-PGRS family protein PE_PGRS16
gene-Rv0978c,Rv0978c,rpmF,PE-PGRS family protein PE_PGRS17
gene-Rv0979c,Rv0979c,Rv0979c,Hypothetical protein
gene-Rv0979A,Rv0979A,rpmF,50S ribosomal protein L32 RpmF
gene-Rv0980c,Rv0980c,PE-PGRS18,PE-PGRS family protein PE_PGRS18
gene-Rv0981,Rv0981,mprA,Mycobacterial persistence regulator MRPA (two component response transcriptional regulatory protein)
gene-Rv0982,Rv0982,mprB,Two component sensor kinase MprB
gene-Rv0983,Rv0983,pepD,Probable serine protease PepD (serine proteinase) (MTB32B)
gene-Rv0984,Rv0984,moaB2,Possible pterin-4-alpha-carbinolamine dehydratase MoaB2 (PHS) (4-alpha- hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD)
gene-Rv0985c,Rv0985c,mscL,Possible large-conductance ion mechanosensitive channel MscL
gene-Rv0986,Rv0986,Rv0986,Probable adhesion component transport ATP-binding protein ABC transporter
gene-Rv0987,Rv0987,Rv0987,Probable adhesion component transport transmembrane protein ABC transporter
gene-Rv0988,Rv0988,Rv0988,Possible conserved exported protein
gene-Rv0989c,Rv0989c,grcC2,Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase)
gene-Rv0990c,Rv0990c,Rv0990c,Hypothetical protein
gene-Rv0991c,Rv0991c,Rv0991c,Conserved serine rich protein
gene-Rv0992c,Rv0992c,Rv0992c,Conserved hypothetical protein
gene-Rv0993,Rv0993,galU,UTP--glucose-1-phosphate uridylyltransferase GalU (UDP-glucose pyrophosphorylase) (UDPGP) (alpha-D-glucosyl-1-phosphate uridylyltransferase) (uridine diphosphoglucose pyrophosphorylase)
gene-Rv0994,Rv0994,moeA1,Probable molybdopterin biosynthesis protein MoeA1
gene-Rv0995,Rv0995,rimJ,Ribosomal-protein-alanine acetyltransferase RimJ (acetylating enzyme for N-terminal of ribosomal protein S5)
gene-Rv0996,Rv0996,Rv0996,Probable conserved transmembrane protein
gene-Rv0997,Rv0997,Rv0997,Hypothetical protein
gene-Rv0998,Rv0998,Rv0998,Conserved hypothetical protein
gene-Rv0999,Rv0999,Rv0999,Unknown protein
gene-Rv1000c,Rv1000c,Rv1000c,Conserved hypothetical protein
gene-Rv1001,Rv1001,arcA,Probable arginine deiminase ArcA (adi) (ad) (arginine dihydrolase)
gene-Rv1002c,Rv1002c,Rv1002c,Conserved membrane protein
gene-Rv1003,Rv1003,Rv1003,Conserved protein
gene-Rv1004c,Rv1004c,Rv1004c,Probable membrane protein
gene-Rv1005c,Rv1005c,pabB,Probable para-aminobenzoate synthase component I PABD
gene-Rv1006,Rv1006,Rv1006,Unknown protein
gene-Rv1007c,Rv1007c,metS,Methionyl-tRNA synthetase MetS (MetRS) (methionine--tRNA ligase)
gene-Rv1008,Rv1008,tatD,Probable deoxyribonuclease TatD (YJJV protein)
gene-Rv1009,Rv1009,rpfB,Probable resuscitation-promoting factor RpfB
gene-Rv1010,Rv1010,ksgA,"Probable dimethyladenosine transferase KsgA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (high level kasugamycin resistance protein KsgA) (kasugamycin dimethyltransferase)"
gene-Rv1011,Rv1011,ispE,Probable 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase IspE (CMK) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)
gene-Rv1012,Rv1012,Rv1012,Hypothetical protein
gene-Rv1013,Rv1013,pks16,Putative polyketide synthase Pks16
gene-Rv1014c,Rv1014c,pth,Probable peptidyl-tRNA hydrolase Pth
gene-Rv1015c,Rv1015c,rplY,50S ribosomal protein L25 RplY
gene-Rv1016c,Rv1016c,lpqT,Probable conserved lipoprotein LpqT
gene-Rv1017c,Rv1017c,prsA,Probable ribose-phosphate pyrophosphokinase PrsA (phosphoribosyl pyrophosphate synthetase) (PRPP synthetase)
gene-Rv1018c,Rv1018c,glmU,Probable UDP-N-acetylglucosamine pyrophosphorylase GlmU
gene-Rv1019,Rv1019,Rv1019,Probable transcriptional regulatory protein (probably TetR-family)
gene-Rv1020,Rv1020,mfd,Probable transcription-repair coupling factor Mfd (TRCF)
gene-Rv1021,Rv1021,Rv1021,Conserved protein
gene-Rv1022,Rv1022,lpqU,Probable conserved lipoprotein LpqU
gene-Rv1023,Rv1023,eno,Probable enolase Eno
gene-Rv1024,Rv1024,Rv1024,Possible conserved membrane protein
gene-Rv1025,Rv1025,Rv1025,Conserved protein
gene-Rv1026,Rv1026,Rv1026,Conserved protein
gene-Rv1027c,Rv1027c,kdpE,Probable transcriptional regulatory protein KdpE
gene-Rv1028c,Rv1028c,kdpF,Probable sensor protein KdpD
gene-Rv1028A,Rv1028A,kdpD,Probable membrane protein KdpF
gene-Rv1029,Rv1029,kdpA,Probable potassium-transporting ATPase a chain KdpA (potassium-translocating ATPase a chain) (ATP phosphohydrolase [potassium-transporting] a chain) (potassium binding and translocating subunit A)
gene-Rv1030,Rv1030,kdpB,Probable potassium-transporting P-type ATPase B chain KdpB (potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (potassium binding and translocating subunit B)
gene-Rv1031,Rv1031,kdpC,Probable potassium-transporting ATPase C chain KdpC (potassium-translocating ATPase C chain) (ATP phosphohydrolase [potassium-transporting] C chain) (potassium binding and translocating subunit C)
gene-Rv1032c,Rv1032c,trcS,Two component sensor histidine kinase TrcS
gene-Rv1033c,Rv1033c,trcR,Two component transcriptional regulator TrcR
gene-Rv1034c,Rv1034c,Rv1034c,Probable transposase (fragment)
gene-Rv1035c,Rv1035c,Rv1035c,Probable transposase (fragment)
gene-Rv1036c,Rv1036c,Rv1036c,Probable IS1560 transposase (fragment)
gene-Rv1037c,Rv1037c,esxI,Putative ESAT-6 like protein EsxI (ESAT-6 like protein 1)
gene-Rv1038c,Rv1038c,esxJ,ESAT-6 like protein EsxJ (ESAT-6 like protein 2)
gene-Rv1039c,Rv1039c,PPE15,PPE family protein PPE15
gene-Rv1040c,Rv1040c,PE8,PE family protein PE8
gene-Rv1041c,Rv1041c,Rv1041c,Probable is like-2 transposase
gene-Rv1042c,Rv1042c,Rv1042c,Probable is like-2 transposase
gene-Rv1043c,Rv1043c,Rv1043c,Conserved hypothetical protein
gene-Rv1044,Rv1044,Rv1044,Conserved hypothetical protein
gene-Rv1045,Rv1045,Rv1045,Hypothetical protein
gene-Rv1046c,Rv1046c,Rv1046c,Hypothetical protein
gene-Rv1047,Rv1047,Rv1047,Probable transposase
gene-Rv1048c,Rv1048c,Rv1048c,Hypothetical protein
gene-Rv1049,Rv1049,Rv1049,Probable transcriptional repressor protein
gene-Rv1050,Rv1050,Rv1050,Probable oxidoreductase
gene-Rv1051c,Rv1051c,Rv1051c,Conserved hypothetical protein
gene-Rv1052,Rv1052,Rv1052,Hypothetical protein
gene-Rv1053c,Rv1053c,Rv1053c,Hypothetical protein
gene-Rv1054,Rv1054,Rv1054,Probable integrase (fragment)
gene-Rv1055,Rv1055,Rv1055,Possible integrase (fragment)
gene-Rv1056,Rv1056,Rv1056,Conserved protein
gene-Rv1057,Rv1057,Rv1057,Conserved hypothetical protein
gene-Rv1058,Rv1058,fadD14,Probable medium chain fatty-acid-CoA ligase FadD14 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv1059,Rv1059,Rv1059,Conserved protein
gene-Rv1060,Rv1060,Rv1060,Unknown protein
gene-Rv1061,Rv1061,Rv1061,Conserved protein
gene-Rv1062,Rv1062,Rv1062,Conserved hypothetical protein
gene-Rv1063c,Rv1063c,Rv1063c,Conserved hypothetical protein
gene-Rv1064c,Rv1064c,lpqV,Possible lipoprotein LpqV
gene-Rv1065,Rv1065,Rv1065,Conserved hypothetical protein
gene-Rv1066,Rv1066,Rv1066,Conserved hypothetical protein
gene-Rv1067c,Rv1067c,PE-PGRS19,PE-PGRS family protein PE_PGRS19
gene-Rv1068c,Rv1068c,PE-PGRS20,PE-PGRS family protein PE_PGRS20
gene-Rv1069c,Rv1069c,Rv1069c,Conserved protein
gene-Rv1070c,Rv1070c,echA8,Probable enoyl-CoA hydratase EchA8 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv1071c,Rv1071c,echA9,Possible enoyl-CoA hydratase EchA9 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv1072,Rv1072,Rv1072,Probable conserved transmembrane protein
gene-Rv1073,Rv1073,Rv1073,Conserved hypothetical protein
gene-Rv1074c,Rv1074c,fadA3,Probable beta-ketoacyl CoA thiolase FadA3
gene-Rv1075c,Rv1075c,Rv1075c,Conserved exported protein
gene-Rv1076,Rv1076,lipU,Possible lipase LipU
gene-Rv1077,Rv1077,cbs,Probable cystathionine beta-synthase Cbs (serine sulfhydrase) (beta-thionase) (hemoprotein H-450)
gene-Rv1078,Rv1078,pra,Probable proline-rich antigen homolog Pra
gene-Rv1079,Rv1079,metB,Cystathionine gamma-synthase MetB (CGS) (O-succinylhomoserine [thiol]-lyase)
gene-Rv1080c,Rv1080c,greA,Probable transcription elongation factor GreA (transcript cleavage factor GreA)
gene-Rv1081c,Rv1081c,Rv1081c,Probable conserved membrane protein
gene-Rv1082,Rv1082,mca,Mycothiol conjugate amidase Mca (mycothiol S-conjugate amidase)
gene-Rv1083,Rv1083,Rv1083,Conserved hypothetical protein
gene-Rv1084,Rv1084,Rv1084,Conserved protein
gene-Rv1085c,Rv1085c,Rv1085c,Possible hemolysin-like protein
gene-Rv1086,Rv1086,Rv1086,Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase)
gene-Rv1087,Rv1087,PE-PGRS21,PE-PGRS family protein PE_PGRS21
gene-Rv1087A,Rv1087A,Rv1087A,Conserved hypothetical protein
gene-Rv1088,Rv1088,PE9,PE family protein PE9
gene-Rv1089,Rv1089,PE10,PE family protein PE10
gene-Rv1089A,Rv1089A,celA2a,"Probable cellulase CelA2a (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)"
gene-Rv1090,Rv1090,celA2b,"Probable cellulase CelA2b (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)"
gene-Rv1091,Rv1091,PE-PGRS22,PE-PGRS family protein PE_PGRS22
gene-Rv1092c,Rv1092c,coaA,Probable pantothenate kinase CoaA (pantothenic acid kinase)
gene-Rv1093,Rv1093,glyA1,Serine hydroxymethyltransferase 1 GlyA1
gene-Rv1094,Rv1094,desA2,Possible acyl-[acyl-carrier protein] desaturase DesA2 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase)
gene-Rv1095,Rv1095,phoH2,Probable PHOH-like protein PhoH2 (phosphate starvation-inducible protein PSIH)
gene-Rv1096,Rv1096,Rv1096,Possible glycosyl hydrolase
gene-Rv1097c,Rv1097c,Rv1097c,Probable membrane glycine and proline rich protein
gene-Rv1098c,Rv1098c,fum,Probable fumarase Fum (fumarate hydratase)
gene-Rv1099c,Rv1099c,glpX,"Fructose 1,6-bisphosphatase GlpX"
gene-Rv1100,Rv1100,Rv1100,Conserved protein
gene-Rv1101c,Rv1101c,Rv1101c,Conserved membrane protein
gene-Rv1102c,Rv1102c,mazF3,Toxin MazF3
gene-Rv1103c,Rv1103c,mazE3,Possible antitoxin MazE3
gene-Rv1104,Rv1104,Rv1104,Possible para-nitrobenzyl esterase (fragment)
gene-Rv1105,Rv1105,Rv1105,Possible para-nitrobenzyl esterase (fragment)
gene-Rv1106c,Rv1106c,Rv1106c,3-beta-hydroxysteroid dehydrogenase
gene-Rv1107c,Rv1107c,xseB,Probable exodeoxyribonuclease VII (small subunit) XseB (exonuclease VII small subunit)
gene-Rv1108c,Rv1108c,xseA,Probable exodeoxyribonuclease VII (large subunit) XseA (exonuclease VII large subunit)
gene-Rv1109c,Rv1109c,Rv1109c,Conserved protein
gene-Rv1110,Rv1110,lytB2,Probable LYTB-related protein LytB2
gene-Rv1111c,Rv1111c,Rv1111c,Conserved hypothetical protein
gene-Rv1112,Rv1112,Rv1112,Probable GTP binding protein
gene-Rv1113,Rv1113,vapB32,Possible antitoxin VapB32
gene-Rv1114,Rv1114,vapC32,Possible toxin VapC32. Contains PIN domain.
gene-Rv1115,Rv1115,Rv1115,Possible exported protein
gene-Rv1116,Rv1116,Rv1116,Hypothetical protein
gene-Rv1116A,Rv1116A,Rv1116A,Conserved hypothetical protein (fragment)
gene-Rv1117,Rv1117,Rv1117,Conserved protein
gene-Rv1118c,Rv1118c,Rv1118c,Conserved protein
gene-Rv1119c,Rv1119c,Rv1119c,Hypothetical protein
gene-Rv1120c,Rv1120c,Rv1120c,Conserved hypothetical protein
gene-Rv1121,Rv1121,zwf1,Probable glucose-6-phosphate 1-dehydrogenase Zwf1 (G6PD)
gene-Rv1122,Rv1122,gnd2,"Probable 6-phosphogluconate dehydrogenase, decarboxylating Gnd2"
gene-Rv1123c,Rv1123c,bpoB,Possible peroxidase BpoB (non-haem peroxidase)
gene-Rv1124,Rv1124,ephC,Probable epoxide hydrolase EphC (epoxide hydratase)
gene-Rv1125,Rv1125,Rv1125,Conserved hypothetical protein
gene-Rv1126c,Rv1126c,Rv1126c,Conserved protein
gene-Rv1127c,Rv1127c,ppdK,"Probable pyruvate, phosphate dikinase PpdK"
gene-Rv1128c,Rv1128c,Rv1128c,Conserved hypothetical protein
gene-Rv1129c,Rv1129c,Rv1129c,Probable transcriptional regulator protein
gene-Rv1130,Rv1130,prpD,Possible methylcitrate dehydratase PrpD
gene-Rv1131,Rv1131,prpC,Probable methylcitrate synthase PrpC
gene-Rv1132,Rv1132,Rv1132,Conserved membrane protein
gene-Rv1133c,Rv1133c,metE,"Probable 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE (methionine synthase, vitamin-B12 independent isozyme)"
gene-Rv1134,Rv1134,Rv1134,Hypothetical protein
gene-Rv1135c,Rv1135c,PPE16,PPE family protein PPE16
gene-Rv1135A,Rv1135A,Rv1135A,Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase)
gene-Rv1136,Rv1136,Rv1136,Possible enoyl-CoA hydratase
gene-Rv1137c,Rv1137c,Rv1137c,Hypothetical protein
gene-Rv1138c,Rv1138c,Rv1138c,Possible oxidoreductase
gene-Rv1139c,Rv1139c,Rv1139c,Conserved hypothetical membrane protein
gene-Rv1140,Rv1140,Rv1140,Probable integral membrane protein
gene-Rv1141c,Rv1141c,echA11,Probable enoyl-CoA hydratase EchA11 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv1142c,Rv1142c,echA10,Probable enoyl-CoA hydratase EchA10 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv1143,Rv1143,mcr,Probable alpha-methylacyl-CoA racemase Mcr (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase )
gene-Rv1144,Rv1144,Rv1144,Probable short-chain type dehydrogenase/reductase
gene-Rv1145,Rv1145,mmpL13a,Probable conserved transmembrane transport protein MmpL13a
gene-Rv1146,Rv1146,mmpL13b,Probable conserved transmembrane transport protein MmpL13b
gene-Rv1147,Rv1147,Rv1147,Conserved protein
gene-Rv1148c,Rv1148c,Rv1148c,Conserved hypothetical protein
gene-Rv1149,Rv1149,Rv1149,Possible transposase
gene-Rv1150,Rv1150,Rv1150,Possible transposase (fragment)
gene-Rv1151c,Rv1151c,Rv1151c,Transcriptional regulatory protein
gene-Rv1152,Rv1152,Rv1152,Probable transcriptional regulatory protein
gene-Rv1153c,Rv1153c,omt,Probable O-methyltransferase Omt
gene-Rv1154c,Rv1154c,Rv1154c,Hypothetical protein
gene-Rv1155,Rv1155,Rv1155,Possible pyridoxamine 5'-phosphate oxidase (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase)
gene-Rv1156,Rv1156,Rv1156,Conserved protein
gene-Rv1157c,Rv1157c,Rv1157c,"Conserved ala-, pro-rich protein"
gene-Rv1158c,Rv1158c,Rv1158c,"Conserved hypothetical ala-, pro-rich protein"
gene-Rv1159,Rv1159,pimE,Mannosyltransferase PimE
gene-Rv1159A,Rv1159A,Rv1159A,Unknown protein
gene-Rv1160,Rv1160,mutT2,"Probable mutator protein MutT2 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTPase)"
gene-Rv1161,Rv1161,narG,Respiratory nitrate reductase (alpha chain) NarG
gene-Rv1162,Rv1162,narH,Probable respiratory nitrate reductase (beta chain) NarH
gene-Rv1163,Rv1163,narJ,Probable respiratory nitrate reductase (delta chain) NarJ
gene-Rv1164,Rv1164,narI,Probable respiratory nitrate reductase (gamma chain) NarI
gene-Rv1165,Rv1165,typA,Possible GTP-binding translation elongation factor TypA (tyrosine phosphorylated protein A) (GTP-binding protein)
gene-Rv1166,Rv1166,lpqW,Probable conserved lipoprotein LpqW
gene-Rv1167c,Rv1167c,Rv1167c,Probable transcriptional regulatory protein
gene-Rv1168c,Rv1168c,PPE17,PPE family protein PPE17
gene-Rv1169c,Rv1169c,lipX,PE family protein. Possible lipase LipX.
gene-Rv1170,Rv1170,mshB,N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB (GlcNAc-Ins deacetylase)
gene-Rv1171,Rv1171,Rv1171,Conserved hypothetical protein
gene-Rv1172c,Rv1172c,PE12,PE family protein PE12
gene-Rv1173,Rv1173,fbiC,Probable F420 biosynthesis protein FbiC
gene-Rv1174c,Rv1174c,TB8.4,Low molecular weight T-cell antigen TB8.4
gene-Rv1175c,Rv1175c,fadH,"Probable NADPH dependent 2,4-dienoyl-CoA reductase FadH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase)"
gene-Rv1176c,Rv1176c,Rv1176c,Conserved hypothetical protein
gene-Rv1177,Rv1177,fdxC,Probable ferredoxin FdxC
gene-Rv1178,Rv1178,Rv1178,Probable aminotransferase
gene-Rv1179c,Rv1179c,Rv1179c,Unknown protein
gene-Rv1180,Rv1180,pks3,Probable polyketide beta-ketoacyl synthase Pks3
gene-Rv1181,Rv1181,pks4,Probable polyketide beta-ketoacyl synthase Pks4
gene-Rv1182,Rv1182,papA3,Probable conserved polyketide synthase associated protein PapA3
gene-Rv1183,Rv1183,mmpL10,Probable conserved transmembrane transport protein MmpL10
gene-Rv1184c,Rv1184c,Rv1184c,Possible exported protein
gene-Rv1185c,Rv1185c,fadD21,Probable fatty-acid-AMP ligase FadD21 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)
gene-Rv1186c,Rv1186c,Rv1186c,Conserved protein
gene-Rv1187,Rv1187,rocA,Probable pyrroline-5-carboxylate dehydrogenase RocA
gene-Rv1188,Rv1188,Rv1188,Probable proline dehydrogenase
gene-Rv1189,Rv1189,sigI,Possible alternative RNA polymerase sigma factor SigI
gene-Rv1190,Rv1190,Rv1190,Conserved hypothetical protein
gene-Rv1191,Rv1191,Rv1191,Conserved protein
gene-Rv1192,Rv1192,Rv1192,Unknown protein
gene-Rv1193,Rv1193,fadD36,Probable fatty-acid-CoA ligase FadD36 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv1194c,Rv1194c,Rv1194c,Conserved protein
gene-Rv1195,Rv1195,PE13,PE family protein PE13
gene-Rv1196,Rv1196,PPE18,PPE family protein PPE18
gene-Rv1197,Rv1197,esxK,ESAT-6 like protein EsxK (ESAT-6 like protein 3)
gene-Rv1198,Rv1198,esxL,Putative ESAT-6 like protein EsxL (ESAT-6 like protein 4)
gene-Rv1199c,Rv1199c,Rv1199c,Possible transposase
gene-Rv1200,Rv1200,Rv1200,Probable conserved integral membrane transport protein
gene-Rv1201c,Rv1201c,dapD,Tetrahydrodipicolinate N-succinyltransferase DapD
gene-Rv1202,Rv1202,dapE,Probable succinyl-diaminopimelate desuccinylase DapE
gene-Rv1203c,Rv1203c,Rv1203c,Hypothetical protein
gene-Rv1204c,Rv1204c,Rv1204c,Conserved hypothetical protein
gene-Rv1205,Rv1205,Rv1205,Conserved hypothetical protein
gene-Rv1206,Rv1206,fadD6,Probable fatty-acid-CoA ligase FadD6 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv1207,Rv1207,folP2,Dihydropteroate synthase 2 FolP2 (DHPS 2) (dihydropteroate pyrophosphorylase 2)
gene-Rv1208,Rv1208,gpgS,Probable glucosyl-3-phosphoglycerate synthase GpgS
gene-Rv1209,Rv1209,Rv1209,Conserved protein
gene-Rv1210,Rv1210,tagA,"Probable DNA-3-methyladenine glycosylase I TagA (tag I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I)"
